,B,Basophil,CD4,CD8,Cholangiocyte,Eosinophil,Hepatocyte,Kupffer,LSEC,Monocyte,NK,Neutrophil,Stellate,others
ANIT_1,0.0,9.46,0.1,2.17,16.08,0.0,30.19,13.33,0.0,0.52,8.35,6.22,13.58,0.0
ANIT_2,0.0,9.56,0.92,2.43,10.19,0.0,29.76,13.89,0.73,0.23,8.24,6.82,17.23,0.0
ANIT_3,0.0,8.1,1.89,3.66,10.93,0.0,26.43,11.85,3.31,1.09,6.96,9.94,15.84,0.0
ANIT_4,0.0,10.33,1.52,2.97,11.24,0.0,28.06,13.38,0.0,1.34,8.49,7.21,15.47,0.0
APAP_1,2.42,11.85,6.84,7.61,13.25,0.92,10.68,7.8,0.0,10.17,7.57,12.19,5.91,2.8
APAP_11,0.0,7.94,0.34,2.98,26.18,0.0,22.67,9.99,0.0,5.14,7.19,5.45,4.61,7.5
APAP_2,3.54,9.38,4.84,5.68,9.16,0.42,18.17,10.61,0.0,6.63,7.0,10.39,14.17,0.0
APAP_4,0.7,10.08,2.57,3.67,12.64,0.0,23.66,12.88,0.0,5.19,8.22,6.05,14.34,0.0
APAP_6,0.27,11.62,3.42,4.34,13.32,0.0,21.27,12.27,0.0,6.48,8.8,6.43,11.78,0.0
APAP_8,0.0,6.19,0.0,2.38,31.09,0.0,22.88,6.83,0.0,0.95,5.94,7.81,0.0,15.94
Ctrl_1,0.0,10.01,1.02,2.01,1.55,0.0,28.18,12.58,11.44,0.0,7.85,7.89,17.46,0.0
Ctrl_10,2.98,11.24,5.95,6.35,2.62,0.0,17.74,10.3,2.47,4.55,7.51,13.02,15.25,0.0
Ctrl_12,0.0,9.08,1.63,2.46,2.23,0.0,25.96,12.48,13.33,0.0,7.33,7.38,18.11,0.0
Ctrl_15,1.8,9.86,3.49,4.46,10.7,0.0,21.81,12.05,0.0,5.44,7.75,7.98,14.65,0.0
Ctrl_16,0.0,12.16,3.29,4.34,6.22,0.0,25.9,12.42,0.0,0.66,8.83,10.77,15.41,0.0
Ctrl_17,5.55,11.34,7.57,6.89,0.0,4.13,9.98,8.44,6.44,5.67,6.72,12.62,14.65,0.0
Ctrl_18,2.33,11.91,5.51,5.99,7.13,0.0,17.89,10.88,0.0,6.34,8.2,10.64,13.2,0.0
Ctrl_2,0.0,8.33,0.0,0.14,0.0,0.0,28.65,11.86,20.62,0.0,6.86,5.85,17.68,0.0
Ctrl_3,4.66,12.31,6.68,6.45,1.46,1.39,15.05,10.87,0.0,7.17,8.09,10.66,15.21,0.0
Ctrl_4,1.64,11.19,4.35,3.99,0.0,0.0,18.75,10.95,14.75,0.36,7.49,9.01,17.52,0.0
CCl4_1,0.63,8.01,2.01,2.44,0.0,0.0,22.53,11.21,21.13,0.0,6.31,7.42,18.3,0.0
CCl4_10,2.6,10.21,4.3,4.7,3.22,0.0,20.35,11.55,5.79,3.7,7.47,9.42,16.7,0.0
CCl4_11,6.43,10.76,8.15,7.97,0.0,6.95,9.35,8.07,0.0,8.01,6.48,14.36,13.47,0.0
CCl4_12,1.08,10.3,3.6,3.82,0.0,0.0,21.53,11.44,13.6,0.43,7.39,9.21,17.59,0.0
CCl4_5,4.71,11.44,6.64,6.66,3.49,2.42,14.19,10.08,0.0,7.56,7.55,11.28,14.0,0.0
CCl4_6,4.64,9.6,5.58,6.09,8.85,3.12,14.55,9.85,0.0,8.53,6.86,9.74,12.6,0.0
CCl4_8,3.83,10.15,6.42,7.16,7.44,2.28,14.26,8.82,0.0,7.21,6.76,13.63,12.05,0.0
Ctrl_7,1.88,11.7,4.63,5.09,5.37,0.0,21.01,12.06,0.0,4.57,8.37,9.62,15.69,0.0
Ctrl_8,0.73,13.48,5.14,5.39,1.9,0.0,21.81,12.25,0.0,2.95,9.14,11.08,16.14,0.0
Ctrl_9,3.55,10.68,5.12,5.55,6.43,0.0,18.41,11.35,0.0,6.43,7.7,9.64,15.14,0.0
ConA_11,4.35,9.03,5.71,6.62,15.25,4.56,11.23,8.31,0.0,11.15,6.45,9.55,7.81,0.0
ConA_12,5.16,10.07,6.58,7.0,12.9,5.97,8.46,8.06,0.0,12.32,6.77,9.07,7.22,0.42
ConA_2,3.93,10.35,5.91,6.5,9.81,2.15,14.16,9.5,0.0,8.69,7.16,10.61,11.24,0.0
ConA_3,5.72,8.47,5.89,6.54,14.68,7.29,8.87,8.08,0.0,12.57,6.1,8.12,7.66,0.0
ConA_4,4.53,10.43,6.64,7.15,11.28,4.43,10.39,8.3,0.0,10.69,6.92,10.73,8.52,0.0
ConA_5,3.48,11.41,5.99,6.41,8.04,0.44,15.43,10.21,0.0,7.96,7.79,10.6,12.23,0.0
ConA_8,4.09,9.79,5.82,6.61,15.15,3.75,11.23,8.61,0.0,11.4,6.89,9.06,7.54,0.05
CIP_7,0.0,13.07,4.35,4.72,1.66,0.0,23.76,12.66,1.75,1.55,9.09,10.49,16.92,0.0
CIP_8,1.82,10.01,4.25,4.02,0.0,0.0,17.78,10.02,18.49,0.0,6.68,9.79,17.16,0.0
CIV_7,0.96,13.43,5.45,5.72,2.3,0.0,20.8,11.81,0.0,3.43,9.0,11.64,15.48,0.0
CIV_8,0.72,9.43,1.75,2.14,0.89,0.0,25.39,13.48,13.63,0.21,7.69,5.14,19.51,0.0
MDA_1,0.0,10.52,1.72,3.56,14.8,0.0,26.72,12.0,0.0,1.66,8.37,8.76,11.88,0.0
